CandidateName,District,ConstituencyNo,Party,Symbol,Search Keywords
मचिन्द्र प्रसाद बेघा,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Machainadara"" OR ""मचिन्द्र प्रसाद बेघा"" OR ""Machainadara Parasada Baegha"")"
लक्षुमान तामाङ,पाँचथर,1,नेपाल मजदुर किसान पार्टी,मादल,"(""Lakashaumana Tamanga"" OR ""Lakashaumana"" OR ""लक्षुमान तामाङ"")"
प्रकाश काफ्ले,पाँचथर,1,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,"(""Parakasha"" OR ""प्रकाश काफ्ले"" OR ""Parakasha Kaphalae"")"
राम कुमार तुम्रोक,पाँचथर,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Rama Kaumara Taumaraoka"" OR ""राम कुमार तुम्रोक"" OR ""Rama"")"
नरेन्द्र प्रसाद कुरुम्‍वाङ,पाँचथर,1,नेपाल जनमुक्ति पार्टी,घर,"(""Naraenadara Parasada Kauraumawanga"" OR ""नरेन्द्र प्रसाद कुरुम्‍वाङ"" OR ""Naraenadara"")"
टेकबहादुर सुब्बा,पाँचथर,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"(""Taekabahadaura"" OR ""Taekabahadaura Saubaba"" OR ""टेकबहादुर सुब्बा"")"
भानु भक्त फियाक,पाँचथर,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Bhanau"" OR ""Bhanau Bhakata Phaiyaka"" OR ""भानु भक्त फियाक"")"
हस्त राज शेर्मा,पाँचथर,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""हस्त राज शेर्मा"" OR ""Hasata"" OR ""Hasata Raja Shaerama"")"
विजय नेम्वाङ,पाँचथर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Waijaya"" OR ""विजय नेम्वाङ"" OR ""Waijaya Naemawanga"")"
मित्र लिङदेन,पाँचथर,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""मित्र लिङदेन"" OR ""Maitara Laingadaena"" OR ""Maitara"")"
काजी मान कागते,इलाम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""काजी मान कागते"" OR ""Kajai Mana Kagatae"" OR ""Kajai"")"
निश्कल राई,इलाम,1,नेपाली काँग्रेस,रुख,"(""निश्कल राई"" OR ""Naishakala Rai"" OR ""Naishakala"")"
रन बहादुर राई,इलाम,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""रन बहादुर राई"" OR ""Rana"" OR ""Rana Bahadaura Rai"")"
विमल गदाल,इलाम,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""विमल गदाल"" OR ""Waimala Gadala"" OR ""Waimala"")"
ज्वाला  नेपाल ,इलाम,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Jawala  Naepala"" OR ""ज्वाला  नेपाल "" OR ""Jawala"")"
तुल्सी केशरी प्रजापति (छुंजु),इलाम,1,नेपाल मजदुर किसान पार्टी,मादल,"(""Taulasai"" OR ""Taulasai Kaesharai Parajapatai Chhaunjau"" OR ""तुल्सी केशरी प्रजापति (छुंजु)"")"
बुद्ध लाल मेचे,इलाम,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Baudadha"" OR ""Baudadha Lala Maechae"" OR ""बुद्ध लाल मेचे"")"
डम्बर सिंह लिम्बु,इलाम,1,नेपाल जनमुक्ति पार्टी,घर,"(""Damabara"" OR ""डम्बर सिंह लिम्बु"" OR ""Damabara Sainha Laimabau"")"
राम प्रसाद लिम्बू,इलाम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Rama"" OR ""Rama Parasada Laimabau"" OR ""राम प्रसाद लिम्बू"")"
विनोद नेम्बाङ्ग लिम्बु,इलाम,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Wainaoda Naemabangaga Laimabau"" OR ""Wainaoda"" OR ""विनोद नेम्बाङ्ग लिम्बु"")"
नारदमणी साङपाङ्ग,इलाम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Naradamanai"" OR ""नारदमणी साङपाङ्ग"" OR ""Naradamanai Sangapangaga"")"
हरि बहादुर गुरुङ,इलाम,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""Harai Bahadaura Gauraunga"" OR ""हरि बहादुर गुरुङ"" OR ""Harai"")"
लिला बहादुर सुनुवार,इलाम,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""लिला बहादुर सुनुवार"" OR ""Laila"" OR ""Laila Bahadaura Saunauwara"")"
सुहाङ नेम्बाङ,इलाम,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Sauhanga Naemabanga"" OR ""सुहाङ नेम्बाङ"" OR ""Sauhanga"")"
भेषराज आचार्य,इलाम,2,नेपाली काँग्रेस,रुख,"(""Bhaesharaja Acharaya"" OR ""भेषराज आचार्य"" OR ""Bhaesharaja"")"
ओम बहादुर गुरुङ्ग,इलाम,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Oma Bahadaura Gauraungaga"" OR ""ओम बहादुर गुरुङ्ग"" OR ""Oma"")"
गोकुल बहादुर राई,इलाम,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""गोकुल बहादुर राई"" OR ""Gaokaula"" OR ""Gaokaula Bahadaura Rai"")"
गणेश प्रसाद दुलाल,इलाम,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Ganaesha"" OR ""गणेश प्रसाद दुलाल"" OR ""Ganaesha Parasada Daulala"")"
श्याम बहादुर लिम्वु,इलाम,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Shayama Bahadaura Laimawau"" OR ""श्याम बहादुर लिम्वु"" OR ""Shayama"")"
याम वहादुर लिम्बु,इलाम,2,नेपाल जनमुक्ति पार्टी,घर,"(""Yama"" OR ""Yama Wahadaura Laimabau"" OR ""याम वहादुर लिम्बु"")"
दिवस राई,इलाम,2,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"(""दिवस राई"" OR ""Daiwasa Rai"" OR ""Daiwasa"")"
सादर सिं लिङदेन (लिम्बु),इलाम,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Sadara Sain Laingadaena Laimabau"" OR ""Sadara"" OR ""सादर सिं लिङदेन (लिम्बु)"")"
सुदिप राई,इलाम,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Saudaipa Rai"" OR ""सुदिप राई"" OR ""Saudaipa"")"
होम प्रसाद खतिवडा,इलाम,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Haoma Parasada Khataiwada"" OR ""Haoma"" OR ""होम प्रसाद खतिवडा"")"
पवित्रा लिम्बु तुम्वाङफे,इलाम,2,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,"(""Pawaitara Laimabau Taumawangaphae"" OR ""पवित्रा लिम्बु तुम्वाङफे"" OR ""Pawaitara"")"
बल बहादुर आङदेम्बे,इलाम,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Bala"" OR ""बल बहादुर आङदेम्बे"" OR ""Bala Bahadaura Angadaemabae"")"
डाक प्रसाद गौतम,इलाम,2,स्वतन्त्र,मुढा,"(""Daka"" OR ""Daka Parasada Gautama"" OR ""डाक प्रसाद गौतम"")"
रामचन्द्र उप्रेती,झापा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""रामचन्द्र उप्रेती"" OR ""Ramachanadara Uparaetai"" OR ""Ramachanadara"")"
केशव राज पाण्डे,झापा,1,नेपाली काँग्रेस,रुख,"(""Kaeshawa Raja Panadae"" OR ""Kaeshawa"" OR ""केशव राज पाण्डे"")"
अशेष घिमिरे,झापा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Ashaesha"" OR ""अशेष घिमिरे"" OR ""Ashaesha Ghaimairae"")"
निशा डाँगी,झापा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Naisha Dagai"" OR ""Naisha"" OR ""निशा डाँगी"")"
हेमराज कार्की,झापा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Haemaraja Karakai"" OR ""Haemaraja"" OR ""हेमराज कार्की"")"
रमा मेचे,झापा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Rama Maechae"" OR ""रमा मेचे"" OR ""Rama"")"
हिरण्य प्रसाद भट्टराई,झापा,1,नेपाल मजदुर किसान पार्टी,मादल,"(""हिरण्य प्रसाद भट्टराई"" OR ""Hairanaya"" OR ""Hairanaya Parasada Bhatatarai"")"
सन्तोष तामाङ्ग,झापा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Sanataosha"" OR ""Sanataosha Tamangaga"" OR ""सन्तोष तामाङ्ग"")"
ओलीन राजवंशी,झापा,1,नेपाल सद्भावना पार्टी,पञ्जा छाप,"(""ओलीन राजवंशी"" OR ""Olaina Rajawanshai"" OR ""Olaina"")"
खान्द्रु करुवा,झापा,1,नेपाल जनमुक्ति पार्टी,घर,"(""Khanadarau Karauwa"" OR ""खान्द्रु करुवा"" OR ""Khanadarau"")"
मान बहादुर साँवा(लिम्बु),झापा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""मान बहादुर साँवा(लिम्बु)"" OR ""Mana Bahadaura Sawalaimabau"" OR ""Mana"")"
केवलराम राई,झापा,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Kaewalarama"" OR ""केवलराम राई"" OR ""Kaewalarama Rai"")"
नरेश कुमार लावती,झापा,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""नरेश कुमार लावती"" OR ""Naraesha"" OR ""Naraesha Kaumara Lawatai"")"
गणेश कुमार खरेल,झापा,1,स्वतन्त्र,क्यामरा,"(""Ganaesha"" OR ""Ganaesha Kaumara Kharaela"" OR ""गणेश कुमार खरेल"")"
दुर्गा प्रसाद साँवा लिम्वु,झापा,1,स्वतन्त्र,क्याप,"(""Dauraga"" OR ""दुर्गा प्रसाद साँवा लिम्वु"" OR ""Dauraga Parasada Sawa Laimawau"")"
देव राज घिमिरे,झापा,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Daewa Raja Ghaimairae"" OR ""Daewa"" OR ""देव राज घिमिरे"")"
सरिता प्रसाई,झापा,2,नेपाली काँग्रेस,रुख,"(""सरिता प्रसाई"" OR ""Saraita"" OR ""Saraita Parasai"")"
धर्माशिला चापागाई,झापा,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Dharamashaila"" OR ""Dharamashaila Chapagai"" OR ""धर्माशिला चापागाई"")"
इन्दिरा राना मगर,झापा,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""इन्दिरा राना मगर"" OR ""Inadaira Rana Magara"" OR ""Inadaira"")"
भद्र प्रसाद नेपाल,झापा,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Bhadara Parasada Naepala"" OR ""भद्र प्रसाद नेपाल"" OR ""Bhadara"")"
रमेश कुमार राजवंशी,झापा,2,जनमत पार्टी,लाउड स्पिकर,"(""Ramaesha"" OR ""रमेश कुमार राजवंशी"" OR ""Ramaesha Kaumara Rajawanshai"")"
चन्द्र कुमारी गारु,झापा,2,नेपाल मजदुर किसान पार्टी,मादल,"(""Chanadara Kaumarai Garau"" OR ""चन्द्र कुमारी गारु"" OR ""Chanadara"")"
अकल बहादुर तामाङ्ग,झापा,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""Akala Bahadaura Tamangaga"" OR ""अकल बहादुर तामाङ्ग"" OR ""Akala"")"
मान बहादुर पुलामी मगर,झापा,2,नेपाल जनमुक्ति पार्टी,घर,"(""Mana Bahadaura Paulamai Magara"" OR ""मान बहादुर पुलामी मगर"" OR ""Mana"")"
श्रीप्रसाद सिटौला,झापा,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,"(""श्रीप्रसाद सिटौला"" OR ""Sharaiparasada Saitaula"" OR ""Sharaiparasada"")"
अमृता लावती,झापा,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""अमृता लावती"" OR ""Amarita Lawatai"" OR ""Amarita"")"
केशव कुमार भण्डारी,झापा,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""केशव कुमार भण्डारी"" OR ""Kaeshawa"" OR ""Kaeshawa Kaumara Bhanadarai"")"
अर्जुन कुमार पाण्डे,झापा,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Arajauna Kaumara Panadae"" OR ""Arajauna"" OR ""अर्जुन कुमार पाण्डे"")"
चुडा कर्ण बेघा,झापा,2,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""चुडा कर्ण बेघा"" OR ""Chauda"" OR ""Chauda Karana Baegha"")"
तिल बहादुर राई,झापा,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Taila"" OR ""तिल बहादुर राई"" OR ""Taila Bahadaura Rai"")"
पुण्य  प्रसाद अार्चाय,झापा,2,स्वतन्त्र,सारङ्‌गी,"(""Paunaya"" OR ""पुण्य  प्रसाद अार्चाय"" OR ""Paunaya  Parasada Aarachaya"")"
युवराज संग्रौला,झापा,2,स्वतन्त्र,पंखा,"(""युवराज संग्रौला"" OR ""Yauwaraja"" OR ""Yauwaraja Sangaraula"")"
रमेश कुमार कार्की,झापा,2,स्वतन्त्र,भँगेरा,"(""Ramaesha"" OR ""रमेश कुमार कार्की"" OR ""Ramaesha Kaumara Karakai"")"
हरी बहादुर राजवंशी,झापा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Harai Bahadaura Rajawanshai"" OR ""हरी बहादुर राजवंशी"" OR ""Harai"")"
राजेन्द्र कुमार घिमिरे,झापा,3,नेपाली काँग्रेस,रुख,"(""Rajaenadara Kaumara Ghaimairae"" OR ""राजेन्द्र कुमार घिमिरे"" OR ""Rajaenadara"")"
डिल्लीराम घिमिरे,झापा,3,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""डिल्लीराम घिमिरे"" OR ""Dailalairama"" OR ""Dailalairama Ghaimairae"")"
प्रकाश पाठक,झापा,3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Parakasha"" OR ""Parakasha Pathaka"" OR ""प्रकाश पाठक"")"
राजेन्द्र प्रसाद लिङ्देन,झापा,3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""राजेन्द्र प्रसाद लिङ्देन"" OR ""Rajaenadara Parasada Laingadaena"" OR ""Rajaenadara"")"
कर्ण लाल राजवंशि,झापा,3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""कर्ण लाल राजवंशि"" OR ""Karana"" OR ""Karana Lala Rajawanshai"")"
हरसलाल राजवंशी,झापा,3,जनमत पार्टी,लाउड स्पिकर,"(""हरसलाल राजवंशी"" OR ""Harasalala Rajawanshai"" OR ""Harasalala"")"
धर्म लक्ष्मी दुवाल (लघु),झापा,3,नेपाल मजदुर किसान पार्टी,मादल,"(""धर्म लक्ष्मी दुवाल (लघु)"" OR ""Dharama"" OR ""Dharama Lakashamai Dauwala Laghau"")"
याम कुमार श्रेष्ठ,झापा,3,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""याम कुमार श्रेष्ठ"" OR ""Yama Kaumara Sharaeshatha"" OR ""Yama"")"
चन्द्रकला सावा,झापा,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""चन्द्रकला सावा"" OR ""Chanadarakala Sawa"" OR ""Chanadarakala"")"
जयेन मगर,झापा,3,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,"(""जयेन मगर"" OR ""Jayaena Magara"" OR ""Jayaena"")"
दिपक तिम्सिना,झापा,3,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""दिपक तिम्सिना"" OR ""Daipaka Taimasaina"" OR ""Daipaka"")"
सन्तोष कटुवाल,झापा,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Sanataosha"" OR ""सन्तोष कटुवाल"" OR ""Sanataosha Katauwala"")"
श्यामकृष्ण पाठक,झापा,3,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""Shayamakarishana Pathaka"" OR ""श्यामकृष्ण पाठक"" OR ""Shayamakarishana"")"
विनिता कुमारी राजवंशी,झापा,3,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Wainaita Kaumarai Rajawanshai"" OR ""Wainaita"" OR ""विनिता कुमारी राजवंशी"")"
अभय राजवंशी,झापा,3,स्वतन्त्र,आँप,"(""Abhaya Rajawanshai"" OR ""अभय राजवंशी"" OR ""Abhaya"")"
मानप्रकाश संग्रौला,झापा,3,स्वतन्त्र,सारङ्‌गी,"(""मानप्रकाश संग्रौला"" OR ""Manaparakasha Sangaraula"" OR ""Manaparakasha"")"
लाल प्रसाद साँवा लिम्बू,झापा,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""लाल प्रसाद साँवा लिम्बू"" OR ""Lala"" OR ""Lala Parasada Sawa Laimabau"")"
देउ कुमार थेवे,झापा,4,नेपाली काँग्रेस,रुख,"(""Daeu Kaumara Thaewae"" OR ""Daeu"" OR ""देउ कुमार थेवे"")"
पुरुषोतम चुडाल,झापा,4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Pauraushaotama"" OR ""Pauraushaotama Chaudala"" OR ""पुरुषोतम चुडाल"")"
शम्भु प्रसाद ढकाल,झापा,4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""शम्भु प्रसाद ढकाल"" OR ""Shamabhau Parasada Dhakala"" OR ""Shamabhau"")"
भक्ति प्रसाद सिटौला,झापा,4,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Bhakatai Parasada Saitaula"" OR ""भक्ति प्रसाद सिटौला"" OR ""Bhakatai"")"
पलटन ताजपुरिया,झापा,4,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Palatana Tajapauraiya"" OR ""पलटन ताजपुरिया"" OR ""Palatana"")"
लोथ्रो हेमरम,झापा,4,जनमत पार्टी,लाउड स्पिकर,"(""Laotharao Haemarama"" OR ""Laotharao"" OR ""लोथ्रो हेमरम"")"
तुल्सी लक्ष्मी दुमरु (बाटी),झापा,4,नेपाल मजदुर किसान पार्टी,मादल,"(""Taulasai"" OR ""तुल्सी लक्ष्मी दुमरु (बाटी)"" OR ""Taulasai Lakashamai Daumarau Batai"")"
दिलिप धिमाल,झापा,4,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""दिलिप धिमाल"" OR ""Dailaipa Dhaimala"" OR ""Dailaipa"")"
टेक बहादुर अधिकारी,झापा,4,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,"(""Taeka Bahadaura Adhaikarai"" OR ""Taeka"" OR ""टेक बहादुर अधिकारी"")"
किरण लिम्वु  लिङदेन,झापा,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""किरण लिम्वु  लिङदेन"" OR ""Kairana Laimawau  Laingadaena"" OR ""Kairana"")"
अमृता देवि राई,झापा,4,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""अमृता देवि राई"" OR ""Amarita Daewai Rai"" OR ""Amarita"")"
तारा बहादुर थापा,झापा,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""Tara Bahadaura Thapa"" OR ""तारा बहादुर थापा"" OR ""Tara"")"
सन्तोष तामाङ्ग,झापा,4,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""Sanataosha"" OR ""Sanataosha Tamangaga"" OR ""सन्तोष तामाङ्ग"")"
त्रीनारायण राजवंशी,झापा,4,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""Tarainarayana"" OR ""त्रीनारायण राजवंशी"" OR ""Tarainarayana Rajawanshai"")"
साजन माझी,झापा,4,स्वतन्त्र,हेल्मेट,"(""साजन माझी"" OR ""Sajana Majhai"" OR ""Sajana"")"
के.पी शर्मा ओली,झापा,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""Kaepai Sharama Olai"" OR ""Kaepai"" OR ""के.पी शर्मा ओली"")"
मंधरा चिमरिया,झापा,5,नेपाली काँग्रेस,रुख,"(""मंधरा चिमरिया"" OR ""Mandhara Chaimaraiya"" OR ""Mandhara"")"
रन्जित तामाङ,झापा,5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Ranajaita Tamanga"" OR ""Ranajaita"" OR ""रन्जित तामाङ"")"
वालेन्द्र शाह,झापा,5,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Walaenadara Shaha"" OR ""वालेन्द्र शाह"" OR ""Walaenadara"")"
लक्ष्मी प्रसाद संग्रौला,झापा,5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Lakashamai Parasada Sangaraula"" OR ""लक्ष्मी प्रसाद संग्रौला"" OR ""Lakashamai"")"
धिरेन सुब्बा,झापा,5,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Dhairaena"" OR ""Dhairaena Saubaba"" OR ""धिरेन सुब्बा"")"
अमृतलाल महतो,झापा,5,जनमत पार्टी,लाउड स्पिकर,"(""अमृतलाल महतो"" OR ""Amaritalala Mahatao"" OR ""Amaritalala"")"
सान बहादुर मेचे,झापा,5,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""सान बहादुर मेचे"" OR ""Sana"" OR ""Sana Bahadaura Maechae"")"
पदम बहादुर जवेगु,झापा,5,नेपाल जनमुक्ति पार्टी,घर,"(""Padama"" OR ""पदम बहादुर जवेगु"" OR ""Padama Bahadaura Jawaegau"")"
सविन राई,झापा,5,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"(""Sawaina"" OR ""Sawaina Rai"" OR ""सविन राई"")"
सुशान्त साम्पङ राइ,झापा,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""सुशान्त साम्पङ राइ"" OR ""Saushanata"" OR ""Saushanata Samapanga Rai"")"
